Unnamed: 0,utterance_index,gpt5,annotator1,annotator2,annotator_aggregate,score,label_0.0,label_0.1,label_0.2,label_0.3,label_0.4,label_0.5,label_0.6,label_0.7,label_0.8,label_0.9,label_1.0
1.1,seeker_5_1,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
1.2,seeker_5_2,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
1.3,seeker_5_3,0,0,0,0,0.2,1,1,1,0,0,0,0,0,0,0,0
1.4,seeker_5_4,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
1.5,seeker_5_5,1,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
1.6,seeker_5_6,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
1.7,seeker_5_7,1,1,1,1,0.6,1,1,1,1,1,1,0,0,0,0,0
1.8,seeker_5_8,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0,0
1.9,seeker_5_9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
1.1,seeker_5_10,0,0,0,0,0.1,1,1,0,0,0,0,0,0,0,0,0
2.1,seeker_1001_1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2.2,seeker_1001_2,1,1,0,1,0.8,1,1,1,1,1,1,1,1,1,0,0
2.3,seeker_1001_3,1,0,0,0,0.6,1,1,1,1,1,1,0,0,0,0,0
2.4,seeker_1001_4,1,0,0,0,0.7,1,1,1,1,1,1,1,0,0,0,0
2.5,seeker_1001_5,1,1,1,1,0.6,1,1,1,1,1,1,0,0,0,0,0
2.6,seeker_1001_6,1,0,1,1,0.4,1,1,1,1,1,0,0,0,0,0,0
2.7,seeker_1001_7,1,1,0,1,0.5,1,1,1,1,1,1,0,0,0,0,0
2.8,seeker_1001_8,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0
2.9,seeker_1001_9,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0
2.1,seeker_1001_10,1,0,0,0,0.5,1,1,1,1,1,1,0,0,0,0,0
2.11,seeker_1001_11,1,1,1,1,0.2,1,1,1,0,0,0,0,0,0,0,0
2.12,seeker_1001_12,1,0,0,0,0.7,1,1,1,1,1,1,1,0,0,0,0
2.13,seeker_1001_13,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
2.14,seeker_1001_14,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,0,0
2.15,seeker_1001_15,1,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
2.16,seeker_1001_16,1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,1,1
2.17,seeker_1001_17,0,0,0,0,0.3,1,1,1,0,0,0,0,0,0,0,0
2.18,seeker_1001_18,0,1,0,1,0.2,1,1,1,0,0,0,0,0,0,0,0
2.19,seeker_1001_19,0,0,0,0,0.4,1,1,1,1,1,0,0,0,0,0,0
2.2,seeker_1001_20,0,0,0,0,0.5,1,1,1,1,1,1,0,0,0,0,0
2.21,seeker_1001_21,1,1,1,1,0.9,1,1,1,1,1,1,1,1,1,1,0
